[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 223340 + eval 14840 pairs)...
[hamroby-extract] step=10150/15000 loss=0.0911 elapsed=288.4s
[hamroby-extract] step=10200/15000 loss=0.1096 elapsed=289.8s
[hamroby-extract] step=10250/15000 loss=0.0855 elapsed=291.1s
[hamroby-extract] step=10300/15000 loss=0.0956 elapsed=292.3s
[hamroby-extract] step=10350/15000 loss=0.1016 elapsed=293.6s
[hamroby-extract] step=10400/15000 loss=0.0874 elapsed=294.9s
[hamroby-extract] step=10450/15000 loss=0.0956 elapsed=296.3s
[hamroby-extract] step=10500/15000 loss=0.0944 elapsed=298.0s
[hamroby-extract] step=10550/15000 loss=0.0893 elapsed=299.5s
[hamroby-extract] step=10600/15000 loss=0.0932 elapsed=300.8s
[hamroby-extract] step=10650/15000 loss=0.0885 elapsed=302.2s
[hamroby-extract] step=10700/15000 loss=0.0946 elapsed=303.6s
[hamroby-extract] step=10750/15000 loss=0.0862 elapsed=304.9s
[hamroby-extract] step=10800/15000 loss=0.0923 elapsed=306.3s
[hamroby-extract] step=10850/15000 loss=0.0955 elapsed=308.0s
[hamroby-extract] step=10900/15000 loss=0.0848 elapsed=309.4s
[hamroby-extract] step=10950/15000 loss=0.0995 elapsed=310.8s
[hamroby-extract] step=11000/15000 loss=0.0825 elapsed=312.1s
[hamroby-extract] step=11050/15000 loss=0.0933 elapsed=313.5s
[hamroby-extract] step=11100/15000 loss=0.0997 elapsed=315.0s
[hamroby-extract] step=11150/15000 loss=0.1001 elapsed=316.2s
[hamroby-extract] step=11200/15000 loss=0.0951 elapsed=317.6s
[hamroby-extract] step=11250/15000 loss=0.0913 elapsed=319.0s
[hamroby-extract] step=11300/15000 loss=0.0974 elapsed=320.3s
[hamroby-extract] step=11350/15000 loss=0.1015 elapsed=321.7s
[hamroby-extract] step=11400/15000 loss=0.0922 elapsed=323.2s
[hamroby-extract] step=11450/15000 loss=0.1017 elapsed=324.5s
[hamroby-extract] step=11500/15000 loss=0.0940 elapsed=325.8s
[hamroby-extract] step=11550/15000 loss=0.1005 elapsed=327.4s
[hamroby-extract] step=11600/15000 loss=0.0907 elapsed=328.7s
[hamroby-extract] step=11650/15000 loss=0.1034 elapsed=330.4s
[hamroby-extract] step=11700/15000 loss=0.0947 elapsed=331.9s
[hamroby-extract] step=11750/15000 loss=0.0979 elapsed=333.5s
[hamroby-extract] step=11800/15000 loss=0.0859 elapsed=335.2s
[hamroby-extract] step=11850/15000 loss=0.0929 elapsed=337.0s
[hamroby-extract] step=11900/15000 loss=0.0877 elapsed=338.3s
[hamroby-extract] step=11950/15000 loss=0.0935 elapsed=339.7s
[hamroby-extract] step=12000/15000 loss=0.0960 elapsed=341.4s
[hamroby-extract] step=12050/15000 loss=0.0873 elapsed=342.8s
[hamroby-extract] step=12100/15000 loss=0.0949 elapsed=344.3s
[hamroby-extract] step=12150/15000 loss=0.0924 elapsed=346.0s
[hamroby-extract] step=12200/15000 loss=0.0832 elapsed=347.4s
[hamroby-extract] step=12250/15000 loss=0.1059 elapsed=349.0s
[hamroby-extract] step=12300/15000 loss=0.0964 elapsed=350.6s
[hamroby-extract] step=12350/15000 loss=0.0889 elapsed=352.2s
[hamroby-extract] step=12400/15000 loss=0.0838 elapsed=353.5s
[hamroby-extract] step=12450/15000 loss=0.0972 elapsed=354.7s
[hamroby-extract] step=12500/15000 loss=0.0984 elapsed=356.0s
[hamroby-extract] step=12550/15000 loss=0.0903 elapsed=357.3s
[hamroby-extract] step=12600/15000 loss=0.0857 elapsed=358.6s
[hamroby-extract] step=12650/15000 loss=0.0894 elapsed=360.0s
[hamroby-extract] step=12700/15000 loss=0.0961 elapsed=361.4s
[hamroby-extract] step=12750/15000 loss=0.0928 elapsed=362.8s
[hamroby-extract] step=12800/15000 loss=0.1015 elapsed=364.1s
[hamroby-extract] step=12850/15000 loss=0.0885 elapsed=365.7s
[hamroby-extract] step=12900/15000 loss=0.0939 elapsed=367.3s
[hamroby-extract] step=12950/15000 loss=0.0904 elapsed=368.7s
[hamroby-extract] step=13000/15000 loss=0.0926 elapsed=370.2s
[hamroby-extract] step=13050/15000 loss=0.0881 elapsed=371.7s
[hamroby-extract] step=13100/15000 loss=0.0873 elapsed=373.2s
[hamroby-extract] step=13150/15000 loss=0.0875 elapsed=374.7s
[hamroby-extract] step=13200/15000 loss=0.0902 elapsed=376.1s
[hamroby-extract] step=13250/15000 loss=0.0983 elapsed=377.3s
[hamroby-extract] step=13300/15000 loss=0.0859 elapsed=378.7s
[hamroby-extract] step=13350/15000 loss=0.0934 elapsed=380.1s
[hamroby-extract] step=13400/15000 loss=0.0814 elapsed=381.4s
[hamroby-extract] step=13450/15000 loss=0.0896 elapsed=382.7s
[hamroby-extract] step=13500/15000 loss=0.0966 elapsed=384.1s
[hamroby-extract] step=13550/15000 loss=0.0878 elapsed=385.6s
[hamroby-extract] step=13600/15000 loss=0.0795 elapsed=387.0s
[hamroby-extract] step=13650/15000 loss=0.0970 elapsed=388.3s
[hamroby-extract] step=13700/15000 loss=0.0937 elapsed=389.7s
[hamroby-extract] step=13750/15000 loss=0.0912 elapsed=391.2s
[hamroby-extract] step=13800/15000 loss=0.0910 elapsed=392.5s
[hamroby-extract] step=13850/15000 loss=0.0902 elapsed=393.8s
[hamroby-extract] step=13900/15000 loss=0.0921 elapsed=395.4s
[hamroby-extract] step=13950/15000 loss=0.0945 elapsed=396.8s
[hamroby-extract] step=14000/15000 loss=0.0889 elapsed=398.3s
[hamroby-extract] step=14050/15000 loss=0.0861 elapsed=399.7s
[hamroby-extract] step=14100/15000 loss=0.0983 elapsed=401.2s
[hamroby-extract] step=14150/15000 loss=0.0980 elapsed=402.5s
[hamroby-extract] step=14200/15000 loss=0.0972 elapsed=403.9s
[hamroby-extract] step=14250/15000 loss=0.0884 elapsed=405.3s
[hamroby-extract] step=14300/15000 loss=0.0831 elapsed=406.7s
[hamroby-extract] step=14350/15000 loss=0.0900 elapsed=408.2s
[hamroby-extract] step=14400/15000 loss=0.0861 elapsed=409.8s
[hamroby-extract] step=14450/15000 loss=0.0832 elapsed=411.2s
[hamroby-extract] step=14500/15000 loss=0.0903 elapsed=412.6s
[hamroby-extract] step=14550/15000 loss=0.0819 elapsed=413.9s
[hamroby-extract] step=14600/15000 loss=0.0971 elapsed=415.3s
[hamroby-extract] step=14650/15000 loss=0.0921 elapsed=416.5s
[hamroby-extract] step=14700/15000 loss=0.0873 elapsed=417.9s
[hamroby-extract] step=14750/15000 loss=0.0950 elapsed=419.3s
[hamroby-extract] step=14800/15000 loss=0.0918 elapsed=420.8s
[hamroby-extract] step=14850/15000 loss=0.0988 elapsed=422.3s
[hamroby-extract] step=14900/15000 loss=0.0960 elapsed=424.0s
[hamroby-extract] step=14950/15000 loss=0.0901 elapsed=425.7s
[hamroby-extract] step=15000/15000 loss=0.0937 elapsed=427.1s
[hamroby-extract] eval token_acc=0.955 triple_em=0.841
[hamroby-extract] saved src/sara_brain/cortex/checkpoints/hamroby_extractor_v1_aug3.pt
