[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 209336 + eval 13753 pairs)...
[hamroby-extract] step= 3650/15000 loss=0.0973 elapsed=106.1s
[hamroby-extract] step= 3700/15000 loss=0.1179 elapsed=107.7s
[hamroby-extract] step= 3750/15000 loss=0.1062 elapsed=109.2s
[hamroby-extract] step= 3800/15000 loss=0.0987 elapsed=110.6s
[hamroby-extract] step= 3850/15000 loss=0.1129 elapsed=112.2s
[hamroby-extract] step= 3900/15000 loss=0.1109 elapsed=113.6s
[hamroby-extract] step= 3950/15000 loss=0.1150 elapsed=115.1s
[hamroby-extract] step= 4000/15000 loss=0.1077 elapsed=116.4s
[hamroby-extract] step= 4050/15000 loss=0.1097 elapsed=117.8s
[hamroby-extract] step= 4100/15000 loss=0.0986 elapsed=119.3s
[hamroby-extract] step= 4150/15000 loss=0.1067 elapsed=120.6s
[hamroby-extract] step= 4200/15000 loss=0.1079 elapsed=122.0s
[hamroby-extract] step= 4250/15000 loss=0.1023 elapsed=123.3s
[hamroby-extract] step= 4300/15000 loss=0.1182 elapsed=124.8s
[hamroby-extract] step= 4350/15000 loss=0.1016 elapsed=126.4s
[hamroby-extract] step= 4400/15000 loss=0.0920 elapsed=127.7s
[hamroby-extract] step= 4450/15000 loss=0.1007 elapsed=129.2s
[hamroby-extract] step= 4500/15000 loss=0.1007 elapsed=130.5s
[hamroby-extract] step= 4550/15000 loss=0.1020 elapsed=132.0s
[hamroby-extract] step= 4600/15000 loss=0.0992 elapsed=133.6s
[hamroby-extract] step= 4650/15000 loss=0.1011 elapsed=135.3s
[hamroby-extract] step= 4700/15000 loss=0.0955 elapsed=137.0s
[hamroby-extract] step= 4750/15000 loss=0.1025 elapsed=138.5s
[hamroby-extract] step= 4800/15000 loss=0.0930 elapsed=140.1s
[hamroby-extract] step= 4850/15000 loss=0.1103 elapsed=141.6s
[hamroby-extract] step= 4900/15000 loss=0.1016 elapsed=143.2s
[hamroby-extract] step= 4950/15000 loss=0.1004 elapsed=144.5s
[hamroby-extract] step= 5000/15000 loss=0.1179 elapsed=145.8s
[hamroby-extract] step= 5050/15000 loss=0.1109 elapsed=147.3s
[hamroby-extract] step= 5100/15000 loss=0.1081 elapsed=148.6s
[hamroby-extract] step= 5150/15000 loss=0.1077 elapsed=150.1s
[hamroby-extract] step= 5200/15000 loss=0.1095 elapsed=151.7s
[hamroby-extract] step= 5250/15000 loss=0.1055 elapsed=153.3s
[hamroby-extract] step= 5300/15000 loss=0.0875 elapsed=155.0s
[hamroby-extract] step= 5350/15000 loss=0.1060 elapsed=156.5s
[hamroby-extract] step= 5400/15000 loss=0.0943 elapsed=157.8s
[hamroby-extract] step= 5450/15000 loss=0.0977 elapsed=159.2s
[hamroby-extract] step= 5500/15000 loss=0.1001 elapsed=160.7s
[hamroby-extract] step= 5550/15000 loss=0.1114 elapsed=162.4s
[hamroby-extract] step= 5600/15000 loss=0.1112 elapsed=164.0s
[hamroby-extract] step= 5650/15000 loss=0.1047 elapsed=165.5s
[hamroby-extract] step= 5700/15000 loss=0.1051 elapsed=166.8s
[hamroby-extract] step= 5750/15000 loss=0.1035 elapsed=168.1s
[hamroby-extract] step= 5800/15000 loss=0.1018 elapsed=169.6s
[hamroby-extract] step= 5850/15000 loss=0.1030 elapsed=170.9s
[hamroby-extract] step= 5900/15000 loss=0.1082 elapsed=172.2s
[hamroby-extract] step= 5950/15000 loss=0.0919 elapsed=173.5s
[hamroby-extract] step= 6000/15000 loss=0.0967 elapsed=174.8s
[hamroby-extract] step= 6050/15000 loss=0.1067 elapsed=176.1s
[hamroby-extract] step= 6100/15000 loss=0.1117 elapsed=177.4s
[hamroby-extract] step= 6150/15000 loss=0.0934 elapsed=178.8s
[hamroby-extract] step= 6200/15000 loss=0.0966 elapsed=180.0s
[hamroby-extract] step= 6250/15000 loss=0.1061 elapsed=181.4s
[hamroby-extract] step= 6300/15000 loss=0.1119 elapsed=182.7s
[hamroby-extract] step= 6350/15000 loss=0.0912 elapsed=184.0s
[hamroby-extract] step= 6400/15000 loss=0.1008 elapsed=185.3s
[hamroby-extract] step= 6450/15000 loss=0.1015 elapsed=186.7s
[hamroby-extract] step= 6500/15000 loss=0.1013 elapsed=188.0s
