[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 230213 + eval 15559 pairs)...
[hamroby-extract] step= 7600/15000 loss=0.0914 elapsed=215.0s
[hamroby-extract] step= 7650/15000 loss=0.1035 elapsed=216.2s
[hamroby-extract] step= 7700/15000 loss=0.1052 elapsed=217.6s
[hamroby-extract] step= 7750/15000 loss=0.1023 elapsed=218.8s
[hamroby-extract] step= 7800/15000 loss=0.0960 elapsed=220.1s
[hamroby-extract] step= 7850/15000 loss=0.0919 elapsed=221.4s
[hamroby-extract] step= 7900/15000 loss=0.1079 elapsed=222.7s
[hamroby-extract] step= 7950/15000 loss=0.0968 elapsed=224.0s
[hamroby-extract] step= 8000/15000 loss=0.1002 elapsed=225.4s
[hamroby-extract] step= 8050/15000 loss=0.1003 elapsed=226.6s
[hamroby-extract] step= 8100/15000 loss=0.1008 elapsed=228.0s
[hamroby-extract] step= 8150/15000 loss=0.1078 elapsed=229.3s
[hamroby-extract] step= 8200/15000 loss=0.1037 elapsed=230.7s
[hamroby-extract] step= 8250/15000 loss=0.1053 elapsed=232.2s
[hamroby-extract] step= 8300/15000 loss=0.0884 elapsed=233.7s
[hamroby-extract] step= 8350/15000 loss=0.0973 elapsed=235.1s
[hamroby-extract] step= 8400/15000 loss=0.0990 elapsed=236.4s
[hamroby-extract] step= 8450/15000 loss=0.0984 elapsed=238.0s
[hamroby-extract] step= 8500/15000 loss=0.0946 elapsed=239.7s
[hamroby-extract] step= 8550/15000 loss=0.0961 elapsed=241.1s
[hamroby-extract] step= 8600/15000 loss=0.1003 elapsed=242.8s
[hamroby-extract] step= 8650/15000 loss=0.0989 elapsed=244.3s
[hamroby-extract] step= 8700/15000 loss=0.0929 elapsed=245.5s
[hamroby-extract] step= 8750/15000 loss=0.0981 elapsed=246.8s
[hamroby-extract] step= 8800/15000 loss=0.1044 elapsed=248.3s
[hamroby-extract] step= 8850/15000 loss=0.0939 elapsed=249.6s
[hamroby-extract] step= 8900/15000 loss=0.1008 elapsed=250.8s
[hamroby-extract] step= 8950/15000 loss=0.1046 elapsed=252.0s
[hamroby-extract] step= 9000/15000 loss=0.1020 elapsed=253.2s
[hamroby-extract] step= 9050/15000 loss=0.1017 elapsed=254.4s
[hamroby-extract] step= 9100/15000 loss=0.0987 elapsed=255.5s
[hamroby-extract] step= 9150/15000 loss=0.0973 elapsed=256.9s
[hamroby-extract] step= 9200/15000 loss=0.0939 elapsed=258.6s
[hamroby-extract] step= 9250/15000 loss=0.0996 elapsed=260.0s
[hamroby-extract] step= 9300/15000 loss=0.1022 elapsed=261.7s
[hamroby-extract] step= 9350/15000 loss=0.0940 elapsed=263.2s
[hamroby-extract] step= 9400/15000 loss=0.1003 elapsed=264.5s
[hamroby-extract] step= 9450/15000 loss=0.0901 elapsed=265.8s
[hamroby-extract] step= 9500/15000 loss=0.0856 elapsed=267.0s
[hamroby-extract] step= 9550/15000 loss=0.0900 elapsed=268.2s
[hamroby-extract] step= 9600/15000 loss=0.1041 elapsed=269.4s
[hamroby-extract] step= 9650/15000 loss=0.0914 elapsed=270.6s
[hamroby-extract] step= 9700/15000 loss=0.1061 elapsed=271.9s
[hamroby-extract] step= 9750/15000 loss=0.0984 elapsed=273.4s
[hamroby-extract] step= 9800/15000 loss=0.0998 elapsed=274.8s
[hamroby-extract] step= 9850/15000 loss=0.0912 elapsed=276.3s
[hamroby-extract] step= 9900/15000 loss=0.0955 elapsed=278.0s
[hamroby-extract] step= 9950/15000 loss=0.0896 elapsed=279.5s
[hamroby-extract] step=10000/15000 loss=0.0923 elapsed=281.1s
[hamroby-extract] step=10050/15000 loss=0.0981 elapsed=282.3s
[hamroby-extract] step=10100/15000 loss=0.0942 elapsed=283.5s
[hamroby-extract] step=10150/15000 loss=0.0970 elapsed=284.7s
[hamroby-extract] step=10200/15000 loss=0.0960 elapsed=285.9s
[hamroby-extract] step=10250/15000 loss=0.0952 elapsed=287.1s
[hamroby-extract] step=10300/15000 loss=0.1025 elapsed=288.3s
[hamroby-extract] step=10350/15000 loss=0.0981 elapsed=289.9s
[hamroby-extract] step=10400/15000 loss=0.0961 elapsed=291.4s
[hamroby-extract] step=10450/15000 loss=0.0945 elapsed=293.1s
[hamroby-extract] step=10500/15000 loss=0.0925 elapsed=294.6s
[hamroby-extract] step=10550/15000 loss=0.1015 elapsed=296.1s
[hamroby-extract] step=10600/15000 loss=0.1006 elapsed=297.3s
[hamroby-extract] step=10650/15000 loss=0.0970 elapsed=298.7s
[hamroby-extract] step=10700/15000 loss=0.0961 elapsed=300.0s
[hamroby-extract] step=10750/15000 loss=0.0969 elapsed=301.4s
[hamroby-extract] step=10800/15000 loss=0.0922 elapsed=302.7s
[hamroby-extract] step=10850/15000 loss=0.0896 elapsed=304.1s
[hamroby-extract] step=10900/15000 loss=0.0914 elapsed=305.4s
[hamroby-extract] step=10950/15000 loss=0.0933 elapsed=306.8s
[hamroby-extract] step=11000/15000 loss=0.1061 elapsed=308.1s
[hamroby-extract] step=11050/15000 loss=0.1029 elapsed=309.5s
[hamroby-extract] step=11100/15000 loss=0.0924 elapsed=311.1s
[hamroby-extract] step=11150/15000 loss=0.0852 elapsed=312.5s
[hamroby-extract] step=11200/15000 loss=0.1074 elapsed=313.7s
[hamroby-extract] step=11250/15000 loss=0.1003 elapsed=314.9s
[hamroby-extract] step=11300/15000 loss=0.1077 elapsed=316.2s
[hamroby-extract] step=11350/15000 loss=0.0965 elapsed=317.4s
[hamroby-extract] step=11400/15000 loss=0.0981 elapsed=318.7s
[hamroby-extract] step=11450/15000 loss=0.0909 elapsed=320.2s
[hamroby-extract] step=11500/15000 loss=0.0841 elapsed=321.7s
[hamroby-extract] step=11550/15000 loss=0.0858 elapsed=323.3s
[hamroby-extract] step=11600/15000 loss=0.0996 elapsed=324.9s
[hamroby-extract] step=11650/15000 loss=0.0984 elapsed=326.6s
[hamroby-extract] step=11700/15000 loss=0.0869 elapsed=328.2s
