[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 229436 + eval 15316 pairs)...
[hamroby-extract] step= 6950/15000 loss=0.1019 elapsed=193.4s
[hamroby-extract] step= 7000/15000 loss=0.1088 elapsed=195.0s
[hamroby-extract] step= 7050/15000 loss=0.1023 elapsed=196.4s
[hamroby-extract] step= 7100/15000 loss=0.0972 elapsed=197.7s
[hamroby-extract] step= 7150/15000 loss=0.0985 elapsed=199.0s
[hamroby-extract] step= 7200/15000 loss=0.0990 elapsed=200.4s
[hamroby-extract] step= 7250/15000 loss=0.0900 elapsed=202.0s
[hamroby-extract] step= 7300/15000 loss=0.1113 elapsed=203.8s
[hamroby-extract] step= 7350/15000 loss=0.0893 elapsed=205.3s
[hamroby-extract] step= 7400/15000 loss=0.1018 elapsed=206.6s
[hamroby-extract] step= 7450/15000 loss=0.0997 elapsed=207.9s
[hamroby-extract] step= 7500/15000 loss=0.0972 elapsed=209.6s
[hamroby-extract] step= 7550/15000 loss=0.0940 elapsed=210.9s
[hamroby-extract] step= 7600/15000 loss=0.1003 elapsed=212.4s
[hamroby-extract] step= 7650/15000 loss=0.0999 elapsed=213.9s
[hamroby-extract] step= 7700/15000 loss=0.0966 elapsed=215.4s
[hamroby-extract] step= 7750/15000 loss=0.0942 elapsed=216.7s
[hamroby-extract] step= 7800/15000 loss=0.0961 elapsed=217.8s
[hamroby-extract] step= 7850/15000 loss=0.1003 elapsed=219.1s
[hamroby-extract] step= 7900/15000 loss=0.0945 elapsed=220.3s
[hamroby-extract] step= 7950/15000 loss=0.0967 elapsed=221.6s
[hamroby-extract] step= 8000/15000 loss=0.0937 elapsed=222.9s
[hamroby-extract] step= 8050/15000 loss=0.0922 elapsed=224.2s
[hamroby-extract] step= 8100/15000 loss=0.0974 elapsed=225.6s
[hamroby-extract] step= 8150/15000 loss=0.0916 elapsed=227.0s
[hamroby-extract] step= 8200/15000 loss=0.0951 elapsed=228.5s
[hamroby-extract] step= 8250/15000 loss=0.0958 elapsed=229.9s
[hamroby-extract] step= 8300/15000 loss=0.0937 elapsed=231.2s
[hamroby-extract] step= 8350/15000 loss=0.1047 elapsed=232.5s
[hamroby-extract] step= 8400/15000 loss=0.1026 elapsed=233.9s
[hamroby-extract] step= 8450/15000 loss=0.0946 elapsed=235.5s
[hamroby-extract] step= 8500/15000 loss=0.1090 elapsed=237.0s
[hamroby-extract] step= 8550/15000 loss=0.0923 elapsed=238.3s
[hamroby-extract] step= 8600/15000 loss=0.0985 elapsed=239.6s
[hamroby-extract] step= 8650/15000 loss=0.0997 elapsed=240.8s
[hamroby-extract] step= 8700/15000 loss=0.0933 elapsed=242.2s
[hamroby-extract] step= 8750/15000 loss=0.0952 elapsed=243.7s
[hamroby-extract] step= 8800/15000 loss=0.0977 elapsed=244.9s
[hamroby-extract] step= 8850/15000 loss=0.0890 elapsed=246.2s
[hamroby-extract] step= 8900/15000 loss=0.0999 elapsed=247.4s
[hamroby-extract] step= 8950/15000 loss=0.0884 elapsed=248.9s
[hamroby-extract] step= 9000/15000 loss=0.1081 elapsed=250.1s
[hamroby-extract] step= 9050/15000 loss=0.0983 elapsed=251.4s
[hamroby-extract] step= 9100/15000 loss=0.1051 elapsed=252.6s
[hamroby-extract] step= 9150/15000 loss=0.1032 elapsed=253.8s
[hamroby-extract] step= 9200/15000 loss=0.0997 elapsed=255.1s
[hamroby-extract] step= 9250/15000 loss=0.0891 elapsed=256.5s
[hamroby-extract] step= 9300/15000 loss=0.0968 elapsed=257.8s
[hamroby-extract] step= 9350/15000 loss=0.0959 elapsed=259.1s
[hamroby-extract] step= 9400/15000 loss=0.0954 elapsed=260.4s
[hamroby-extract] step= 9450/15000 loss=0.1066 elapsed=261.6s
[hamroby-extract] step= 9500/15000 loss=0.0896 elapsed=263.0s
[hamroby-extract] step= 9550/15000 loss=0.0994 elapsed=264.4s
[hamroby-extract] step= 9600/15000 loss=0.1125 elapsed=265.9s
[hamroby-extract] step= 9650/15000 loss=0.1060 elapsed=267.5s
[hamroby-extract] step= 9700/15000 loss=0.0975 elapsed=268.8s
[hamroby-extract] step= 9750/15000 loss=0.0949 elapsed=270.2s
[hamroby-extract] step= 9800/15000 loss=0.0985 elapsed=271.4s
[hamroby-extract] step= 9850/15000 loss=0.0999 elapsed=272.8s
[hamroby-extract] step= 9900/15000 loss=0.0935 elapsed=274.1s
[hamroby-extract] step= 9950/15000 loss=0.0965 elapsed=275.4s
[hamroby-extract] step=10000/15000 loss=0.0833 elapsed=276.7s
[hamroby-extract] step=10050/15000 loss=0.1072 elapsed=278.1s
[hamroby-extract] step=10100/15000 loss=0.1029 elapsed=279.6s
